"race_id","name","year","qualifier_id","date","location","race_type","high_humidity","low_humidity","peak_wind_speed","starting_elevation","gross_elevation_gain","high_temp","low_temp"
5438,"Ironman 70.3 Calgary",2010,75516,"8/1/10","Calgary, Canada","Ironman 70.3",0.00,0.00,17.30,3438.00,2624.00,72.70,51.10
5446,"Ironman 70.3 Lake Stevens",2010,54633,"8/15/10","Lake Stevens, WA, USA","Ironman 70.3",94.00,40.00,8.10,217.00,3384.00,91.00,63.00
5456,"Ironman 70.3 Muskoka",2010,10831,"9/12/10","Muskoka, Canada","Ironman 70.3",100.00,56.00,16.10,983.00,3997.00,66.20,53.60
5464,"Ironman 70.3 Cozumel",2010,99955,"9/19/10","Cozumel, Mexico","Ironman 70.3",100.00,70.00,11.40,14.00,360.00,84.20,71.60
5469,"Ironman 70.3 Augusta",2010,61447,"9/26/10","Augusta, GA, USA","Ironman 70.3",93.00,74.00,10.30,141.00,1610.00,96.10,64.00
5477,"Ironman 70.3 Port Macquarie",2010,20537,"10/31/10","Port Macquarie, Australia","Ironman 70.3",100.00,39.00,17.30,16.00,2191.00,79.90,64.80
5482,"Ironman 70.3 Austin",2010,7141,"9/17/10","Austin, TX, USA","Ironman 70.3",94.00,49.00,20.80,489.00,1769.00,93.20,71.60
5488,"Ironman 70.3 Miami",2010,64341,"9/30/10","Miami, FL, USA","Ironman 70.3",100.00,59.00,12.80,6.00,1029.00,87.80,73.40
5494,"Ironman 70.3 Pucon",2010,68252,"1/25/10","Pucon, Chile","Ironman 70.3",93.00,24.00,13.80,732.00,2960.00,82.40,43.30
5503,"Ironman 70.3 Geelong",2010,30692,"2/7/10","Geelong, Australia","Ironman 70.3",94.00,30.00,13.80,50.00,2490.00,81.50,56.80
5074,"Ironman St. Croix 70.3",2009,56293,"5/3/2009","St. Croix, USA","Ironman 70.3",89.00,58.00,14.00,20.00,3140.00,82.00,71.00
5235,"Ironman 70.3 Eagleman",2009,93659,"6/14/2009","Cambridge, MD, USA","Ironman 70.3",88.00,39.00,13.00,20.00,490.00,78.00,66.00
5253,"Ironman 70.3 Hawaii",2009,9682,"5/30/09","Kohala Coast, HI, USA","Ironman 70.3",90.00,51.00,11.40,40.00,2928.00,84.20,69.80
5291,"Ironman 70.3 California",2009,34041,"4/4/09","Oceanside, CA, USA","Ironman 70.3",89.00,43.00,9.20,66.00,2416.00,69.80,42.80
5305,"Ironman 70.3 New Orleans",2009,66835,"4/5/09","New Orleans, LA, USA","Ironman 70.3",93.00,37.00,17.30,0.00,427.00,82.90,68.00
5312,"Ironman 70.3 Florida",2009,34695,"5/17/09","Haines City, FL, USA","Ironman 70.3",91.00,44.00,15.00,162.00,1673.00,89.00,71.00
