"id","race_id","qualifier_id","name","year","age","athlete_id","final_time","cycle_time","run_time","swim_time","high_temp","low_temp","high_humidity","low_humidity","starting_elevation","gross_elevation_gain"
148944,5117,89837,"Ironman Wisconsin",2002,30,11941,38711,21016,12650,4217,71.00,48.00,96.00,44.00,863.00,1916.00
252972,5083,48917,"Ironman World Championships",2010,40,11941,37060,18613,13746,4091,82.00,71.00,78.00,54.00,49.00,4865.00
18871,5011,7504,"Ironman Florida",2001,35,11999,37607,20314,12371,4368,84.00,62.00,94.00,48.00,22.00,1335.00
27271,5016,67724,"Ironman Arizona",2010,45,11999,37334,20517,12284,4072,72.00,58.00,67.00,41.00,1160.00,2119.00
232190,5152,88283,"Ironman Canada",2002,35,11999,37348,20464,12538,3998,78.00,62.00,78.00,41.00,0.00,4268.00
18081,5007,7504,"Ironman Florida",2004,35,11999,35323,19025,11942,3853,73.00,59.00,51.00,31.00,19.00,1335.00
215760,5139,88283,"Ironman Canada",2013,45,11999,38605,21053,12457,4264,73.00,47.00,92.00,22.00,2141.00,7323.00
13985,5003,7504,"Ironman Florida",2007,40,11999,35939,18892,12486,4045,74.00,51.00,98.00,54.00,16.00,1335.00
182197,5174,73783,"Ironman Lake Placid",2006,40,11999,39013,22220,12329,3902,73.00,55.00,97.00,43.00,1801.00,6493.00
357166,5209,20398,"Ironman Coeur d Alene",2008,40,12033,38596,0,0,38596,71.00,53.00,94.00,41.00,2188.00,6517.00
358110,5211,20398,"Ironman Coeur d Alene",2006,35,12033,38624,20600,13780,3832,89.00,55.00,82.00,21.00,2188.00,6517.00
181713,5170,73783,"Ironman Lake Placid",2007,40,12033,41911,22737,14879,3784,77.00,41.00,100.00,29.00,1801.00,6493.00
171335,5171,73783,"Ironman Lake Placid",2011,45,12033,45585,23003,17585,4268,77.00,47.00,100.00,43.00,1801.00,6493.00
182781,5169,73783,"Ironman Lake Placid",2005,38,12033,40239,21566,14345,3865,78.00,46.00,100.00,37.00,1801.00,6493.00
134268,5110,89837,"Ironman Wisconsin",2009,40,12033,39501,20794,14265,3955,83.00,48.00,100.00,37.00,863.00,1916.00
14017,5003,7504,"Ironman Florida",2007,40,12033,36688,19098,13379,3755,74.00,51.00,98.00,54.00,16.00,1335.00
18936,5011,7504,"Ironman Florida",2001,30,12033,43092,21400,16202,4309,84.00,62.00,94.00,48.00,22.00,1335.00
17781,5006,7504,"Ironman Florida",2005,38,12033,36577,18906,13570,3713,77.00,71.00,88.00,61.00,18.00,1335.00
27088,5017,67724,"Ironman Arizona",2012,45,12033,42771,21204,16611,4398,81.00,57.00,52.00,25.00,1160.00,2119.00
14051,5003,7504,"Ironman Florida",2007,35,12062,37219,19292,13737,3746,74.00,51.00,98.00,54.00,16.00,1335.00
100725,5279,56781,"Ironman Texas",2013,45,12062,41567,20004,16459,4363,91.00,73.00,94.00,47.00,160.00,2822.00
251724,5084,48917,"Ironman World Championships",2011,40,12062,39652,20351,14506,4370,84.00,75.00,74.00,56.00,49.00,4865.00
253870,5086,48917,"Ironman World Championships",2009,40,12062,45202,21781,17715,4627,87.00,78.00,74.00,51.00,49.00,4865.00
36674,5018,67724,"Ironman Arizona",2007,35,12062,38100,20827,12761,3914,78.00,59.00,36.00,10.00,1160.00,2119.00
357238,5209,20398,"Ironman Coeur d Alene",2008,40,12062,39163,0,0,39163,71.00,53.00,94.00,41.00,2188.00,6517.00
36301,5015,67724,"Ironman Arizona",2008,35,12062,36444,19539,12379,4085,94.00,63.00,23.00,4.00,1160.00,2119.00
27060,5017,67724,"Ironman Arizona",2012,40,12062,36446,18682,13474,3913,81.00,57.00,52.00,25.00,1160.00,2119.00
158222,5081,45963,"Ironman Lake Tahoe",2013,45,12062,46482,23212,17907,4102,61.00,33.00,89.00,33.00,6250.00,8246.00
215802,5141,88283,"Ironman Canada",2010,40,12062,38677,20385,13733,3810,67.00,46.00,71.00,34.00,0.00,4268.00
27263,5016,67724,"Ironman Arizona",2010,40,12062,35759,19368,11999,3910,72.00,58.00,67.00,41.00,1160.00,2119.00
231871,5149,88283,"Ironman Canada",2003,30,12095,36969,19316,13694,198120,82.00,57.00,52.00,32.00,0.00,4268.00
230026,5143,88283,"Ironman Canada",2006,30,12095,36776,18627,14453,206040,89.00,50.00,76.00,19.00,0.00,4268.00
230757,5148,88283,"Ironman Canada",2004,30,12095,37398,19147,14658,197520,80.00,57.00,94.00,44.00,0.00,4268.00
267862,5275,99365,"Ironman Lanzarote",2004,30,12095,39221,21316,14292,198180,75.00,66.00,83.00,57.00,100.00,8824.00
253598,5086,48917,"Ironman World Championships",2009,35,12095,36937,19182,13793,212220,87.00,78.00,74.00,51.00,49.00,4865.00
231259,5146,88283,"Ironman Canada",2005,30,12095,34994,18036,13362,201120,88.00,53.00,67.00,21.00,0.00,4268.00
245544,5090,48917,"Ironman World Championships",2004,30,12095,44624,22994,17475,3658,87.00,73.00,76.00,51.00,49.00,4865.00
